post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score,hashtags
1,Facebook,image,8/17/2023 14:45,2121,474,628,Thursday,positive,Yes
2,Facebook,carousel,5/14/2023 0:45,3660,432,694,Sunday,neutral,No
3,Instagram,poll,2/21/2023 16:15,4955,408,688,Tuesday,negative,No
4,Twitter,image,11/16/2023 0:45,1183,90,187,Thursday,negative,Yes
5,Twitter,video,5/23/2023 0:30,3499,247,286,Tuesday,positive,Yes
6,Instagram,carousel,5/5/2023 20:00,256,186,211,Friday,neutral,Yes
7,Instagram,image,2/26/2023 11:45,1982,30,906,Sunday,positive,Yes
8,Instagram,text,10/28/2023 19:30,1274,45,216,Saturday,neutral,No
9,Facebook,video,5/2/2023 6:15,317,249,221,Tuesday,neutral,Yes
10,Twitter,carousel,5/11/2023 11:00,1878,225,438,Thursday,neutral,No
11,Twitter,text,12/8/2023 2:15,1446,44,52,Friday,negative,Yes
12,Twitter,video,6/15/2023 3:15,304,42,89,Thursday,positive,No
13,Facebook,carousel,11/11/2023 15:45,45,78,375,Saturday,negative,No
14,Twitter,text,9/30/2023 10:30,1333,144,123,Saturday,positive,Yes
15,Facebook,carousel,1/9/2023 20:00,889,314,262,Monday,positive,Yes
16,Twitter,image,2/10/2023 13:00,2348,154,18,Friday,neutral,Yes
17,Instagram,poll,7/5/2023 5:15,2872,10,736,Wednesday,positive,Yes
18,Twitter,text,7/23/2023 5:45,512,123,338,Sunday,neutral,Yes
19,Twitter,text,11/20/2023 2:00,2013,122,183,Monday,positive,Yes
20,Facebook,image,2/2/2023 16:00,455,86,79,Thursday,positive,Yes
21,Twitter,poll,5/2/2023 6:15,559,136,55,Tuesday,neutral,Yes
22,Twitter,carousel,1/30/2023 13:30,1961,44,439,Monday,positive,Yes
23,Twitter,text,10/2/2023 12:15,332,109,348,Monday,positive,Yes
24,Instagram,carousel,1/1/2023 20:00,5000,80,399,Sunday,positive,Yes
25,Twitter,poll,5/17/2023 0:15,898,130,480,Wednesday,positive,Yes
26,Facebook,carousel,10/5/2023 6:30,1992,70,515,Thursday,negative,No
27,Instagram,text,10/6/2023 10:00,3161,162,137,Friday,positive,Yes
28,Facebook,poll,3/1/2023 8:00,2083,500,388,Wednesday,neutral,Yes
29,Facebook,image,1/7/2023 10:30,548,153,731,Saturday,negative,Yes
30,Facebook,carousel,2/3/2023 0:30,4594,216,739,Friday,positive,Yes
31,Facebook,poll,9/10/2023 13:45,4795,449,978,Sunday,negative,Yes
32,Instagram,image,7/1/2023 14:45,4665,202,183,Saturday,positive,Yes
33,Twitter,video,9/27/2023 19:00,119,147,240,Wednesday,positive,Yes
34,Twitter,poll,2/9/2023 15:30,2253,162,28,Thursday,positive,No
35,Instagram,image,6/6/2023 19:30,1309,201,852,Tuesday,negative,No
36,Facebook,video,4/8/2023 19:15,5000,500,43,Saturday,positive,No
37,Facebook,video,5/11/2023 0:30,4245,59,83,Thursday,neutral,Yes
38,Twitter,poll,5/2/2023 0:30,2463,187,445,Tuesday,positive,Yes
